Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Extracellular Matrix Organization R-HSA-1474244,18/291,6.61E-09,4.28E-06,0,0,6.151742994,115.8705308,SPARC;LAMA1;SERPINE1;P3H2;HTRA1;P3H3;THBS1;COL1A1;SCUBE3;COL4A1;ADAMTS1;SERPINH1;TIMP2;SDC1;ITGAV;NCAM1;COLGALT1;JAM2
Platelet Degranulation R-HSA-114608,11/125,1.88E-07,6.07E-05,0,0,8.78204191,135.9826208,LGALS3BP;SPARC;WDR1;AHSG;PCDH7;SERPINE1;IGF2;FLNA;CD9;CLU;THBS1
Response To Elevated Platelet Cytosolic Ca2+ R-HSA-76005,11/130,2.81E-07,6.07E-05,0,0,8.410908808,126.8736801,LGALS3BP;SPARC;WDR1;AHSG;PCDH7;SERPINE1;IGF2;FLNA;CD9;CLU;THBS1
Signaling By Receptor Tyrosine Kinases R-HSA-9006934,20/496,1.06E-06,1.71E-04,0,0,3.916900093,53.89496768,EGR1;PDGFRA;SPARC;LAMA1;IGF2;PLAT;FOS;THBS2;THBS1;CRKL;DUSP7;PTBP1;MYCN;FLRT2;COL4A1;MYC;ID1;FOSB;ITGAV;SGK1
Signaling By PDGF R-HSA-186797,Jun 52,2.63E-05,0.003413615,0,0,11.64292741,122.7681047,PDGFRA;COL4A1;PLAT;THBS2;THBS1;CRKL
Hemostasis R-HSA-109582,19/576,3.38E-05,0.003652517,0,0,3.151360309,32.44158403,LGALS3BP;SPARC;SERPINE2;WDR1;AHSG;PCDH7;SERPINE1;IGF2;GATA4;PLAT;MERTK;CLU;THBS1;SDC1;FLNA;CD9;ITGAV;SLC16A3;JAM2
Signaling By TGFB Family Members R-HSA-9006936,8/119,6.48E-05,0.004909067,0,0,6.470689868,62.40746989,BAMBI;MYC;FST;SERPINE1;PMEPA1;ITGAV;INHBA;SKIL
Nuclear Events (Kinase And Transcription Factor Activation) R-HSA-198725,Jun 61,6.60E-05,0.004909067,0,0,9.733278486,93.69301727,EGR1;ID1;FOSB;FOS;SGK1;DUSP7
Immune System R-HSA-168256,41/1943,7.21E-05,0.004909067,0,0,2.071139039,19.75266014,PDXK;UBA7;CEBPD;IFIT5;DAPP1;PYGL;CLU;USP18;CRKL;IL27RA;ACTG1;DPP7;TRIM5;MYC;TIMP2;FLNA;ITGAV;NCAM1;ZBP1;EGR1;GSN;RSAD2;AHSG;EIF2AK2;FOS;TUBB4B;EEF2;PSMB8;DUSP7;TAPBP;SPSB1;MAVS;PKM;DNAJC5;ASB9;SDC1;UBE2O;MYH9;EVL;PTX3;VIM
NGF-stimulated Transcription R-HSA-9031628,May 39,7.58E-05,0.004909067,0,0,13.07564918,124.0614574,EGR1;ID1;FOSB;FOS;SGK1
Interferon Signaling R-HSA-913531,10/200,1.00E-04,0.005891828,0,0,4.749696823,43.74558354,EGR1;RSAD2;UBA7;TRIM5;IFIT5;EIF2AK2;FLNA;NCAM1;USP18;PSMB8
Collagen Biosynthesis And Modifying Enzymes R-HSA-1650814,Jun 67,1.12E-04,0.006052157,0,0,8.773236407,79.80420624,COL1A1;COL4A1;P3H2;SERPINH1;P3H3;COLGALT1
"Platelet Activation, Signaling And Aggregation R-HSA-76002",11/254,1.62E-04,0.008076172,0,0,4.092935528,35.72223501,LGALS3BP;SPARC;WDR1;AHSG;PCDH7;SERPINE1;IGF2;FLNA;CD9;CLU;THBS1
Signal Transduction R-HSA-162582,47/2465,2.27E-04,0.01049463,0,0,1.874103943,15.72696489,SPARC;MAGED1;LAMA1;SERPINE1;AMIGO2;PLAT;ECE1;THBS2;THBS1;CRKL;ACTG1;PTBP1;MTA1;FLRT2;MYC;BOC;PIP5K1A;FLNA;PMEPA1;WDR6;ITGAV;NCAM1;SKIL;EGR1;PDGFRA;PHC2;RCC2;FST;PCDH7;IGF2;FOS;INHBA;PSMB8;DUSP7;MYCN;COL4A1;BAMBI;SCD;ID1;OTULIN;FOSB;MYH9;AMOTL2;EVL;VIM;SGK1;FKBP4
Signaling By NTRK1 (TRKA) R-HSA-187037,7/114,3.25E-04,0.014059193,0,0,5.848003398,46.96133437,EGR1;ID1;FOSB;FOS;SGK1;CRKL;DUSP7
Dissolution Of Fibrin Clot R-HSA-75205,Mar 13,3.79E-04,0.015058611,0,0,26.46830357,208.4890367,SERPINE2;SERPINE1;PLAT
ECM Proteoglycans R-HSA-3000178,May 55,3.95E-04,0.015058611,0,0,8.884234234,69.62114763,SPARC;LAMA1;SERPINE1;ITGAV;NCAM1
Collagen Formation R-HSA-1474290,Jun 90,5.63E-04,0.02027759,0,0,6.363606981,47.61096659,COL1A1;COL4A1;P3H2;SERPINH1;P3H3;COLGALT1
Signaling By TGF-beta Receptor Complex R-HSA-170834,Jun 91,5.97E-04,0.020374359,0,0,6.288421613,46.67851202,BAMBI;MYC;SERPINE1;PMEPA1;ITGAV;SKIL
Signaling By NTRKs R-HSA-166520,7/132,7.85E-04,0.025439544,0,0,5.001309091,35.75740393,EGR1;ID1;FOSB;FOS;SGK1;CRKL;DUSP7
Cytokine Signaling In Immune System R-HSA-1280215,18/702,0.001136221,0.033172561,0,0,2.403550743,16.29618735,EGR1;RSAD2;UBA7;CEBPD;IFIT5;EIF2AK2;FOS;USP18;PSMB8;CRKL;IL27RA;DUSP7;TRIM5;MYC;SDC1;FLNA;NCAM1;VIM
Binding And Uptake Of Ligands By Scavenger Receptors R-HSA-2173782,Apr 41,0.001177421,0.033172561,0,0,9.567809962,64.52941215,COL1A1;SCARB1;SPARC;COL4A1
Non-integrin membrane-ECM Interactions R-HSA-3000171,Apr 41,0.001177421,0.033172561,0,0,9.567809962,64.52941215,LAMA1;SDC1;ITGAV;THBS1
"Plasma Lipoprotein Assembly, Remodeling, And Clearance R-HSA-174824",May 71,0.001276883,0.034475853,0,0,6.725020475,44.81105063,SCARB1;MBTPS1;NCEH1;LDLR;LMF2
Interferon Alpha/Beta Signaling R-HSA-909733,May 72,0.001359681,0.035242942,0,0,6.624310878,43.72379625,EGR1;RSAD2;IFIT5;USP18;PSMB8
Syndecan Interactions R-HSA-3000170,Mar 20,0.001426147,0.035543974,0,0,15.56407563,101.9879451,SDC1;ITGAV;THBS1
Uptake And Function Of Diphtheria Toxin R-HSA-5336415,02. Jun,0.001866885,0.044805231,0,0,43.93111111,276.0404432,CD9;EEF2
Cap-dependent Translation Initiation R-HSA-72737,6/116,0.002104685,0.04870843,0,0,4.853064582,29.91229719,EIF2B5;EIF4H;RPL13A;RPS2;RPS12;EIF3B
Axon Guidance R-HSA-422475,14/519,0.00252589,0.056032783,0,0,2.507804583,14.99958457,LAMA1;SEMA6D;RPL13A;EFNA5;PSMB8;ACTG1;COL4A1;DPYSL2;MYH9;ITGAV;EVL;NCAM1;RPS2;RPS12
Insulin-like Growth Factor-2 mRNA Binding Proteins (IGF2BPs/IMPs/VICKZs) Bind RNA R-HSA-428359,02. Jul,0.00259411,0.056032783,0,0,35.14311111,209.260065,MYC;IGF2
Regulation Of IGF Transport And Uptake By IGFBPs R-HSA-381426,6/123,0.002823695,0.059024332,0,0,4.561085973,26.77224738,MBTPS1;CDH2;AHSG;IGF2;IGFBP7;MFGE8
Innate Immune System R-HSA-168249,22/1035,0.003564132,0.072173672,0,0,1.987431681,11.20282397,ZBP1;PDXK;GSN;UBA7;AHSG;PYGL;FOS;TUBB4B;EEF2;CLU;USP18;PSMB8;DUSP7;ACTG1;MAVS;DPP7;PKM;DNAJC5;TIMP2;MYH9;ITGAV;PTX3
Nervous System Development R-HSA-9675108,14/545,0.003903932,0.073837003,0,0,2.381793586,13.20888161,LAMA1;SEMA6D;RPL13A;EFNA5;PSMB8;ACTG1;COL4A1;DPYSL2;MYH9;ITGAV;EVL;NCAM1;RPS2;RPS12
Ribosomal Scanning And Start Codon Recognition R-HSA-72702,Apr 57,0.00398811,0.073837003,0,0,6.673999492,36.87009578,EIF4H;RPS2;RPS12;EIF3B
Translation Initiation Complex Formation R-HSA-72649,Apr 57,0.00398811,0.073837003,0,0,6.673999492,36.87009578,EIF4H;RPS2;RPS12;EIF3B
Uptake And Actions Of Bacterial Toxins R-HSA-5339562,Mar 29,0.004240603,0.074362877,0,0,10.171875,55.56945959,SYT1;CD9;EEF2
"mRNA Activation Upon Binding Of Cap-Binding Complex And eIFs, Subsequent Binding To 43S R-HSA-72662",Apr 58,0.004246028,0.074362877,0,0,6.550074738,35.77500964,EIF4H;RPS2;RPS12;EIF3B
Metabolism Of Proteins R-HSA-392499,34/1890,0.004778794,0.081491012,0,0,1.700626452,9.087411536,GATA4;THBS2;THBS1;USP18;MTA1;CDH2;ADAMTS1;MYC;ARSJ;EIF4H;PMEPA1;IGFBP7;RPS2;RPS12;DDX17;EIF2B5;MBTPS1;PHC2;GSN;AHSG;IGF2;LSAMP;RPL13A;INHBA;TUBB4B;EEF2;PSMB8;SPSB1;MAVS;OTULIN;ASB9;TTLL12;MFGE8;EIF3B
ATF6 (ATF6-alpha) Activates Chaperones R-HSA-381033,02. Nov,0.006593749,0.10892509,0,0,19.52,98.02228018,MBTPS1;ATF4
Integrin Cell Surface Interactions R-HSA-216083,Apr 66,0.006723771,0.10892509,0,0,5.702589324,28.52495698,COL4A1;ITGAV;THBS1;JAM2
Plasma Lipoprotein Clearance R-HSA-8964043,Mar 35,0.007226468,0.111503678,0,0,8.262137277,40.73237738,SCARB1;NCEH1;LDLR
Post-translational Protein Phosphorylation R-HSA-8957275,5/106,0.00722709,0.111503678,0,0,4.386763001,21.62638531,MBTPS1;CDH2;AHSG;IGFBP7;MFGE8
Neutrophil Degranulation R-HSA-6798695,12/468,0.007426424,0.111914483,0,0,2.364381885,11.59188065,PDXK;GSN;DPP7;PKM;AHSG;DNAJC5;TIMP2;ITGAV;PTX3;PYGL;TUBB4B;EEF2
L13a-mediated Translational Silencing Of Ceruloplasmin Expression R-HSA-156827,5/108,0.007806719,0.113092462,0,0,4.301145806,20.87247325,EIF4H;RPL13A;RPS2;RPS12;EIF3B
Caspase-mediated Cleavage Of Cytoskeletal Proteins R-HSA-264870,02. Dec,0.007853643,0.113092462,0,0,17.56711111,85.14388337,GSN;VIM
GTP Hydrolysis And Joining Of 60S Ribosomal Subunit R-HSA-72706,5/109,0.008108321,0.114221568,0,0,4.259572072,20.50926207,EIF4H;RPL13A;RPS2;RPS12;EIF3B
Defective B3GALTL Causes PpS R-HSA-5083635,Mar 37,0.008438002,0.116336709,0,0,7.775341387,37.12733074,ADAMTS1;THBS2;THBS1
O-glycosylation Of TSR Domain-Containing Proteins R-HSA-5173214,Mar 38,0.00908572,0.122657226,0,0,7.552806122,35.5061289,ADAMTS1;THBS2;THBS1
Estrogen-dependent Gene Expression R-HSA-9018519,5/119,0.011580537,0.152257492,0,0,3.883949739,17.31631567,MYC;PMEPA1;FOSB;FOS;FKBP4
Nuclear Events Mediated By NFE2L2 R-HSA-9759194,Apr 78,0.011982137,0.152257492,0,0,4.774936371,21.12593397,MYC;TKT;PSMB8;ATF4
Signaling By Activin R-HSA-1502540,Feb 15,0.012218194,0.152257492,0,0,13.51111111,59.51413595,FST;INHBA
YAP1- And WWTR1 (TAZ)-stimulated Gene Expression R-HSA-2032785,Feb 15,0.012218194,0.152257492,0,0,13.51111111,59.51413595,GATA4;RUNX2
Retinoid Metabolism And Transport R-HSA-975634,Mar 43,0.01275338,0.155928112,0,0,6.60703125,28.8195993,SDC1;LDLR;LRP12
TGF-beta Receptor Signaling Activates SMADs R-HSA-2173789,Mar 44,0.013574092,0.162889108,0,0,6.445557491,27.71326924,BAMBI;PMEPA1;ITGAV
Post-translational Protein Modification R-HSA-597592,25/1383,0.014326202,0.168788707,0,0,1.678265212,7.125352063,THBS2;THBS1;USP18;MTA1;CDH2;ADAMTS1;MYC;ARSJ;PMEPA1;IGFBP7;RPS2;DDX17;MBTPS1;PHC2;AHSG;LSAMP;TUBB4B;EEF2;PSMB8;SPSB1;MAVS;OTULIN;ASB9;TTLL12;MFGE8
Antiviral Mechanism By IFN-stimulated Genes R-HSA-1169410,Apr 83,0.014778229,0.171005225,0,0,4.471589942,18.84596375,UBA7;FLNA;EIF2AK2;USP18
Protein Methylation R-HSA-8876725,Feb 17,0.015591887,0.177255132,0,0,11.70844444,48.71889104,RPS2;EEF2
Metabolism Of Fat-Soluble Vitamins R-HSA-6806667,Mar 47,0.016213295,0.181141638,0,0,6.005174513,24.75287121,SDC1;LDLR;LRP12
Peptide Chain Elongation R-HSA-156902,Apr 86,0.016637868,0.182734551,0,0,4.307338948,17.64317896,RPL13A;RPS2;EEF2;RPS12
LDL Clearance R-HSA-8964038,Feb 18,0.017411122,0.187012005,0,0,10.97611111,44.46034144,NCEH1;LDLR
Cellular Responses To Stress R-HSA-2262752,15/722,0.018170085,0.187012005,0,0,1.908075578,7.647526344,MBTPS1;PHC2;RPL13A;FOS;PSMB8;MYC;ID1;SERPINH1;HDGF;IGFBP7;RPS2;TKT;FKBP4;RPS12;ATF4
Cell Surface Interactions At Vascular Wall R-HSA-202733,5/134,0.018495271,0.187012005,0,0,3.429708779,13.68536187,SDC1;ITGAV;MERTK;SLC16A3;JAM2
"Formation Of Ternary Complex, And Subsequently, 43S Complex R-HSA-72695",Mar 50,0.019120186,0.187012005,0,0,5.621010638,22.24239888,RPS2;RPS12;EIF3B
Assembly Of Active LPL And LIPC Lipase Complexes R-HSA-8963889,Feb 19,0.019315682,0.187012005,0,0,10.32993464,40.77057831,MBTPS1;LMF2
Scavenging By Class A Receptors R-HSA-3000480,Feb 19,0.019315682,0.187012005,0,0,10.32993464,40.77057831,COL1A1;COL4A1
"GABA Synthesis, Release, Reuptake And Degradation R-HSA-888590",Feb 19,0.019315682,0.187012005,0,0,10.32993464,40.77057831,SYT1;DNAJC5
Eukaryotic Translation Elongation R-HSA-156842,Apr 90,0.019336118,0.187012005,0,0,4.106163312,16.20201931,RPL13A;RPS2;EEF2;RPS12
Metabolism Of Vitamins And Cofactors R-HSA-196854,6/186,0.019664708,0.187393095,0,0,2.95520362,11.61078741,PDXK;TCN2;SDC1;PARP14;LDLR;LRP12
Transcriptional Activity Of SMAD2/SMAD3:SMAD4 Heterotrimer R-HSA-2173793,Mar 51,0.020148956,0.189224976,0,0,5.503627232,21.48947839,MYC;SERPINE1;SKIL
Cellular Responses To Stimuli R-HSA-8953897,15/736,0.021169831,0.194431152,0,0,1.869651689,7.207840381,MBTPS1;PHC2;RPL13A;FOS;PSMB8;MYC;ID1;SERPINH1;HDGF;IGFBP7;RPS2;TKT;FKBP4;RPS12;ATF4
Signal Transduction By L1 R-HSA-445144,Feb 20,0.021303413,0.194431152,0,0,9.755555556,37.54804046,ITGAV;NCAM1
RHO GTPases Activate PAKs R-HSA-5627123,Feb 21,0.0233722,0.205003929,0,0,9.241637427,34.71351247,FLNA;MYH9
Citric Acid Cycle (TCA Cycle) R-HSA-71403,Feb 21,0.0233722,0.205003929,0,0,9.241637427,34.71351247,ACO2;LDLR
Pyruvate Metabolism And Citric Acid (TCA) Cycle R-HSA-71406,Mar 54,0.023415127,0.205003929,0,0,5.179096639,19.44426055,ACO2;SLC16A3;LDLR
Diseases Of Glycosylation R-HSA-3781865,5/143,0.023727307,0.205003929,0,0,3.204563259,11.98868363,ADAMTS1;SDC1;THBS2;THBS1;PAPSS2
Response Of EIF2AK4 (GCN2) To Amino Acid Deficiency R-HSA-9633012,Apr 98,0.025505125,0.212012001,0,0,3.755176033,13.77727468,RPL13A;RPS2;RPS12;ATF4
Formation Of A Pool Of Free 40S Subunits R-HSA-72689,Apr 98,0.025505125,0.212012001,0,0,3.755176033,13.77727468,RPL13A;RPS2;RPS12;EIF3B
Laminin Interactions R-HSA-3000157,Feb 22,0.025519963,0.212012001,0,0,8.779111111,32.20436296,LAMA1;ITGAV
Infectious Disease R-HSA-5663205,18/961,0.026023021,0.213436539,0,0,1.719748132,6.274971776,ZBP1;SYT1;CEBPD;EIF2AK2;RPL13A;PARP14;EEF2;PSMB8;ACTG1;MAVS;MTA1;SDC1;MYH9;CD9;RPS2;FKBP4;RPS12;SLC25A6
L1CAM Interactions R-HSA-373760,Apr 99,0.02635019,0.213436539,0,0,3.715459051,13.51044866,LAMA1;DPYSL2;ITGAV;NCAM1
KEAP1-NFE2L2 Pathway R-HSA-9755511,4/100,0.027211898,0.217695183,0,0,3.676569507,13.25072776,MYC;TKT;PSMB8;ATF4
RUNX2 Regulates Osteoblast Differentiation R-HSA-8940973,Feb 24,0.030044285,0.237423131,0,0,7.98020202,27.97126897,COL1A1;RUNX2
Regulation Of PTEN Gene Transcription R-HSA-8943724,Mar 61,0.032083536,0.250483507,0,0,4.552416872,15.65763854,EGR1;PHC2;MTA1
Influenza Infection R-HSA-168255,5/157,0.033612794,0.253815529,0,0,2.907331674,9.864135933,EIF2AK2;RPL13A;RPS2;RPS12;SLC25A6
Interleukin-4 And Interleukin-13 Signaling R-HSA-6785807,4/107,0.033713803,0.253815529,0,0,3.425486525,11.61187844,CEBPD;MYC;FOS;VIM
Signaling By Interleukins R-HSA-449147,10/453,0.034616319,0.253815529,0,0,2.010797766,6.76317764,CEBPD;MYC;SDC1;FOS;VIM;USP18;PSMB8;CRKL;IL27RA;DUSP7
Attenuation Phase R-HSA-3371568,Feb 26,0.034860466,0.253815529,0,0,7.314444444,24.550215,SERPINH1;FKBP4
Downregulation Of TGF-beta Receptor Signaling R-HSA-2173788,Feb 26,0.034860466,0.253815529,0,0,7.314444444,24.550215,BAMBI;PMEPA1
Signaling By ALK R-HSA-201556,Feb 26,0.034860466,0.253815529,0,0,7.314444444,24.550215,MYCN;MYC
Degradation Of Extracellular Matrix R-HSA-1474228,4/109,0.035723638,0.257210195,0,0,3.359897502,11.19498587,SCUBE3;ADAMTS1;HTRA1;TIMP2
Semaphorin Interactions R-HSA-373755,Mar 64,0.036243774,0.258087534,0,0,4.327868852,14.35765152,DPYSL2;SEMA6D;MYH9
