Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
LGI-ADAM Interactions,14-Mar,0.002817046,0.579128759,0,0,12.79856115,75.15400209,DLG4;ADAM11;CACNG4
cGMP Effects,16-Mar,0.004201018,0.579128759,0,0,10.82844494,59.25788917,PDE10A;IRAG1;PDE5A
"Sodium-coupled Sulphate, Di- and Tri-Carboxylate Transporters",05-Feb,0.004218591,0.579128759,0,0,31.22328549,170.7368599,SLC13A2;SLC13A5
ECM Proteoglycans,6/76,0.005251181,0.579128759,0,0,4.039337474,21.20370331,COL1A1;LAMB2;COL6A2;ITGA8;COL4A5;DCN
Glycosphingolipid Biosynthesis,19-Mar,0.006938351,0.579128759,0,0,8.79676259,43.72599044,UGT8;ST3GAL5;B4GALNT1
NrCAM Interactions,07-Feb,0.008615372,0.579128759,0,0,18.73205742,89.05608342,DLG4;CNTN2
The Canonical Retinoid Cycle in Rods (Twilight Vision),22-Mar,0.010526544,0.579128759,0,0,7.406664142,33.72887618,DHRS9;LRAT;RLBP1
Collagen Degradation,5/64,0.011030261,0.579128759,0,0,3.986318154,17.96678538,COL1A1;CTSK;MMP2;COL6A2;COL4A5
Fatty Acids Bound to GPR40 (FFAR1) Regulate Insulin Secretion,08-Feb,0.011328497,0.579128759,0,0,15.6092504,69.93621438,GNA14;GNA15
NCAM1 Interactions,4/42,0.011437919,0.579128759,0,0,4.944838057,22.10748692,COL6A2;CNTN2;COL4A5;CACNA1S
Nitric Oxide Stimulates Guanylate Cyclase,23-Mar,0.011919997,0.579128759,0,0,7.035971223,31.16610092,PDE10A;IRAG1;PDE5A
Interleukin-1 Processing,09-Feb,0.014364383,0.579128759,0,0,13.37867396,56.76576117,IL1A;CASP1
SLC-mediated Transmembrane Transport,11/249,0.016578111,0.579128759,0,0,2.18571634,8.960720185,SLC22A4;SLC13A2;SLC24A1;SLC6A19;SLC36A2;SLC20A2;SLCO2A1;SLC13A5;SLC18A1;RHBG;SLC28A1
Acetylcholine Regulates Insulin Secretion,10-Feb,0.017708343,0.579128759,0,0,11.70574163,47.21767695,GNA14;GNA15
Activation of PPARGC1A (PGC-1alpha) by Phosphorylation,10-Feb,0.017708343,0.579128759,0,0,11.70574163,47.21767695,PRKAG2;PPARGC1A
SLC Transporter Disorders,6/99,0.018065326,0.579128759,0,0,3.03677731,12.18889794,SLC24A1;SLC6A19;SLC36A2;NUP210;SLC20A2;SLCO2A1
Cell Recruitment (Pro-Inflammatory Response),27-Mar,0.018510965,0.579128759,0,0,5.862110312,23.38625613,IL1A;ENTPD1;CASP1
Free Fatty Acids Regulate Insulin Secretion,11-Feb,0.021346163,0.629483339,0,0,10.40457204,40.02517391,GNA14;GNA15
Reversible Hydration of Carbon Dioxide,12-Feb,0.025264088,0.629483339,0,0,9.363636364,34.4429316,CA4;CA6
"Glutamate Binding, Activation of AMPA Receptors and Synaptic Plasticity",31-Mar,0.026754742,0.629483339,0,0,5.023638232,18.19081279,DLG4;TSPAN7;CACNG4
Trafficking of AMPA Receptors,31-Mar,0.026754742,0.629483339,0,0,5.023638232,18.19081279,DLG4;TSPAN7;CACNG4
Phase II - Conjugation of Compounds,6/111,0.029701649,0.629483339,0,0,2.688060732,9.452707243,NAT1;SULT1E1;GSTA3;GSTP1;GGT1;PAPSS2
Integrin Cell Surface Interactions,5/85,0.033342709,0.684567496,0,0,2.936746988,9.987630257,COL1A1;COL6A2;ITGA8;COL4A5;ITGB7
Anchoring Fibril Formation,15-Feb,0.038567541,0.767844672,0,0,7.201693044,23.44399021,COL1A1;COL4A5
Glutathione Conjugation,3/37,0.042206281,0.813284777,0,0,4.135844266,13.09071733,GSTA3;GSTP1;GGT1
RAC3 GTPase Cycle,5/94,0.048034957,0.840454422,0,0,2.638554217,8.010192165,IL32;OPHN1;NOXA1;ARAP3;CYBA
Metabolism of Folate and Pterines,17-Feb,0.04860433,0.840454422,0,0,6.240829346,18.87253421,FOLR2;SLC19A1
Crosslinking of Collagen Fibrils,18-Feb,0.053938108,0.840454422,0,0,5.850478469,17.08291763,COL1A1;COL4A5
NFE2L2 Regulating Anti-Oxidant Detoxification Enzymes,19-Feb,0.059467499,0.840454422,0,0,5.506051224,15.53986795,NQO1;GSTA3
Na+ Cl- Dependent Neurotransmitter Transporters,19-Feb,0.059467499,0.840454422,0,0,5.506051224,15.53986795,SLC6A19;SLC18A1
RHO GTPases Activate CIT,19-Feb,0.059467499,0.840454422,0,0,5.506051224,15.53986795,DLG4;MYH11
Assembly and Cell Surface Presentation of NMDA Receptors,3/43,0.061217617,0.840454422,0,0,3.514388489,9.816812581,DLG4;LIN7A;TUBB4A
Collagen Chain Trimerization,3/44,0.064714514,0.840454422,0,0,3.428496227,9.386433341,COL1A1;COL6A2;COL4A5
Synthesis of Leukotrienes (LT) and Eoxins (EX),20-Feb,0.065181979,0.840454422,0,0,5.199893674,14.19868534,CYP4A22;GGT1
Transport of Connexons to the Plasma Membrane,20-Feb,0.065181979,0.840454422,0,0,5.199893674,14.19868534,GJA1;TUBB4A
