Source,Direction,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Reactome,Down-regulated,Platelet Degranulation R-HSA-114608,11/125,4.56E-07,1.54E-04,0,0,7.995336442,116.7316107,LGALS3BP;HSPA5;WDR1;AHSG;ITGB3;PCDH7;SERPINE1;PLEK;IGF2;CD9;CLU
Reactome,Down-regulated,Response To Elevated Platelet Cytosolic Ca2+ R-HSA-76005,11/130,6.77E-07,1.54E-04,0,0,7.657447789,108.7741212,LGALS3BP;HSPA5;WDR1;AHSG;ITGB3;PCDH7;SERPINE1;PLEK;IGF2;CD9;CLU
Reactome,Down-regulated,Extracellular Matrix Organization R-HSA-1474244,16/291,7.75E-07,1.54E-04,0,0,4.884514107,68.72923086,SDC4;PCOLCE2;ITGB3;ITGA2;SERPINE1;LOXL3;LOXL4;PLOD1;LAMC1;COL1A1;VCAN;COL4A1;SERPINH1;CAPN2;ITGAV;COLGALT1
Reactome,Down-regulated,Collagen Formation R-HSA-1474290,Aug 90,1.61E-05,0.002409366,0,0,7.995934959,88.24064406,COL1A1;PCOLCE2;COL4A1;LOXL3;SERPINH1;LOXL4;PLOD1;COLGALT1
Reactome,Down-regulated,Hemostasis R-HSA-109582,20/576,3.61E-05,0.004313338,0,0,3.028524549,30.98239976,LGALS3BP;GUCY1B1;SERPINE2;SDC4;HSPA5;WDR1;AHSG;ITGB3;ITGA2;PCDH7;SERPINE1;PLEK;IGF2;GATA4;KLC1;CLU;TNFRSF10D;ABL1;CD9;ITGAV
Reactome,Down-regulated,Signaling By Receptor Tyrosine Kinases R-HSA-9006934,18/496,5.08E-05,0.005058784,0,0,3.155648536,31.20450577,EGR1;RRAD;ITGB3;ITGA2;NAB2;IGF2;HSPB1;LAMC1;THBS2;FLRT2;COL4A1;MYC;STMN1;ID1;FOSB;PGR;ITGAV;APOE
Reactome,Down-regulated,ECM Proteoglycans R-HSA-3000178,Jun 55,5.97E-05,0.005096419,0,0,9.969472086,96.9720355,VCAN;ITGB3;ITGA2;SERPINE1;ITGAV;LAMC1
Reactome,Down-regulated,Syndecan Interactions R-HSA-3000170,Apr 20,9.56E-05,0.006938049,0,0,20.22131148,187.1502602,SDC4;ITGA2;ITGB3;ITGAV
Reactome,Down-regulated,NGF-stimulated Transcription R-HSA-9031628,May 39,1.15E-04,0.006938049,0,0,11.93294602,108.250698,EGR1;RRAD;NAB2;ID1;FOSB
Reactome,Down-regulated,Signaling By TGFB Family Members R-HSA-9006936,8/119,1.20E-04,0.006938049,0,0,5.898198198,53.25747232,BAMBI;MYC;ITGB3;SERPINE1;INHBB;ITGAV;INHBA;TGFBR2
Reactome,Down-regulated,Non-integrin membrane-ECM Interactions R-HSA-3000171,May 41,1.47E-04,0.006938049,0,0,11.26886145,99.48342059,SDC4;ITGB3;ITGA2;ITGAV;LAMC1
Reactome,Down-regulated,Signal Transduction R-HSA-162582,51/2465,1.50E-04,0.006938049,0,0,1.859369414,16.36788257,ITGB3;SERPINE1;NAB2;HSPB1;ADM;ECE1;LAMC1;ACTG1;C1QTNF1;MYC;STMN1;WDR6;ITGAV;PIP4K2C;SOX4;TLE3;ITGA2;TGFBR2;COL4A1;RAPGEF2;MYH9;PGR;CRABP2;RRAD;MAGED1;NTS;KLC1;THBS2;MTA1;FLRT2;ABL1;PIP5K1A;APOE;CLASP1;EGR1;DYNC1H1;PHC2;CAVIN1;RCC2;PCDH7;IGF2;INHBB;INHBA;TNFRSF10D;BAMBI;SCD;ID1;SNAI2;FOSB;AMOTL2;VIM
Reactome,Down-regulated,Regulation Of IGF Transport And Uptake By IGFBPs R-HSA-381426,8/123,1.51E-04,0.006938049,0,0,5.691884058,50.08502855,MBTPS1;VCAN;AHSG;IGFBP3;IGF2;SPARCL1;APOE;LAMC1
