gene_name,twoD_1,twoD_2,twoD_3,twoD_4,dynamic_1,dynamic_2,dynamic_3,dynamic_4
LOC101903639,0,0,0,1,0,0,0,0
LOC112447074,0,0,0,0,0,0,0,0
LOC112447010,0,1,3,0,0,0,0,0
LOC100138661,0,0,1,0,0,0,0,0
LOC107131365,0,0,2,0,0,0,0,0
LOC618212,8,0,21,0,0,30,0,28
OR9M6,0,0,0,0,0,0,0,0
CLIC6,55,5,14,12,0,0,0,15
RCAN1,36,132,192,35,55,65,24,109
LOC132345447,0,0,0,0,0,0,0,0
KCNE1,0,0,0,0,0,0,0,0
LOC101904627,0,0,0,0,0,0,0,0
SMIM34,0,0,0,0,0,0,0,0
C21orf140,0,9,0,21,0,3,12,2
SMIM11,778,533,486,612,782,848,591,460
KCNE2,0,0,0,0,0,0,0,5
LOC112447088,0,0,0,0,0,0,0,0
MRPS6,1932,1258,3538,1329,2005,2198,1356,2729
SLC5A3,84,58,110,62,23,54,38,88
LOC112448353,0,0,0,0,0,0,0,0
LOC112447090,0,0,0,0,0,0,0,0
LOC112447091,0,0,0,0,0,0,0,0
ATP5PO,18906,20558,17443,21434,26290,15947,27593,16621
ITSN1,3615,3065,3717,3122,3095,2056,3338,3427
MIR12045,0,0,2,0,0,0,0,0
TRNAC-GCA,0,0,0,0,0,0,0,0
MIR2285BS,0,0,0,0,0,0,0,1
CRYZL1,568,538,628,732,611,487,603,516
LOC112447103,30,19,10,31,3,14,24,7
DONSON,317,222,531,183,82,157,49,155
SON,5476,6780,6462,6007,7244,5728,7732,9733
MIR6501,0,0,0,0,0,0,0,0
GART,3926,4860,2599,3330,4781,4086,3670,4151
LOC104970777,0,1,0,1,0,0,0,0
DNAJC28,390,359,373,254,174,299,345,632
TMEM50B,338,354,696,473,555,1041,453,871
LOC112448317,0,0,0,0,0,0,0,0
IFNGR2,43,12,46,0,6,0,8,16
LOC132346179,0,0,0,0,0,0,0,0
IFNAR1,722,1116,843,389,329,1437,913,1598
LOC132346184,0,1,0,6,0,0,0,0
LOC104970778,0,0,0,0,2,0,0,0
IL10RB,2056,843,1444,907,1197,1955,1426,2260
IFNAR2,0,0,0,0,0,0,0,0
LOC526226,0,0,0,0,0,0,0,0
