"","logFC","AveExpr","t","P.Value","adj.P.Val","B","logP","Significance"
"RPIA",-9.13414983333333,10.1923516,-33.4875665246492,1.531627890508e-06,0.00170186424799457,5.08944971220558,5.81484673387343,"Significant"
"PIM3",-10.1467488333333,10.4184042,-31.6905796439791,1.95830020065828e-06,0.00170186424799457,4.987352686857,5.70812073158508,"Significant"
"DDB1",-7.19595516666667,9.4923094,-29.7833950678236,2.58184642262332e-06,0.00170186424799457,4.86351074201418,5.58806959467646,"Significant"
"PARP1",-7.621265,9.472949,-29.7500839324649,2.59474287947369e-06,0.00170186424799457,4.86118917065534,5.5859056711713,"Significant"
"E4F1",-5.97331183333333,3.7260184,-28.9430526406426,2.93269725114871e-06,0.00170186424799457,4.80313412823044,5.53273276788951,"Significant"
"PAK1IP1",-7.7890695,7.4758658,-28.6207835401418,3.08256535401908e-06,0.00170186424799457,4.77894351585657,5.51108770707968,"Significant"
"PAFAH1B2",-7.59218316666666,9.3928696,-26.9664637295496,4.01762221853497e-06,0.00170186424799457,4.64486509817956,5.39603090285884,"Significant"
"JARID2",-8.16333916666667,10.402565,-26.8508467242968,4.09514755514057e-06,0.00170186424799457,4.63483192204385,5.38773044525184,"Significant"
"CHEK1",-7.066169,8.8942266,-26.1701178297433,4.59060302686855e-06,0.00170186424799457,4.57385797580379,5.33813026129508,"Significant"
"JAML",-7.36084083333333,4.28103,-25.7197973437067,4.95892948267468e-06,0.00170186424799457,4.53166083778286,5.30461206745057,"Significant"
"WARS2",-5.31089433333333,6.7306134,-25.5682913331512,5.09090959986799e-06,0.00170186424799457,4.51711634988982,5.29320461473384,"Significant"
"PTDSS1",-7.76215716666667,8.0877552,-25.4177271170145,5.22634792015789e-06,0.00170186424799457,4.50248444085311,5.28180168248179,"Significant"
"GLUL",-7.065753,11.1037702,-25.3786106409769,5.2622529130388e-06,0.00170186424799457,4.49865373566904,5.27882828279961,"Significant"
"ACIN1",-6.48216983333333,4.9699816,-25.2800583862157,5.35405953715003e-06,0.00170186424799457,4.48894825607905,5.27131680376695,"Significant"
"RIMS2",-6.784157,9.6266368,-25.2210283108235,5.40998716858139e-06,0.00170186424799457,4.48309754474096,5.26680376495275,"Significant"
"FAM104A",-8.93363516666667,9.6016444,-25.0011127639567,5.6247323129928e-06,0.00170186424799457,4.4610510220977,5.24989814126218,"Significant"
"LDLR",-5.84926666666667,6.780815,-24.9156127415352,5.71102709889629e-06,0.00170186424799457,4.45237199424811,5.24328577909749,"Significant"
"MGRN1",-6.77471066666667,6.4283006,-24.7375072509998,5.89604441424795e-06,0.00170186424799457,4.4340959098731,5.22943925364457,"Significant"
"PSMD4",-6.60795666666666,7.465311,-24.555153149028,6.09312336952418e-06,0.00170186424799457,4.4151041629611,5.21516002847964,"Significant"
"TPK1",-12.6442373333333,6.3943886,-24.28735269234,6.39736352369236e-06,0.00170186424799457,4.3866892677373,5.19399897023789,"Significant"
"CHCHD4",-6.22106933333333,7.5763954,-24.1730993411925,6.53279905819954e-06,0.00170186424799457,4.37437295951824,5.1849007000311,"Significant"
"LIPA",-5.26915533333333,8.5440448,-24.050111165527,6.68252682423533e-06,0.00170186424799457,4.36098345307279,5.17505928927266,"Significant"
"CALM1",-9.19608416666667,12.600765,-23.9186501711258,6.84723427444765e-06,0.00170186424799457,4.34651872376213,5.16448481272575,"Significant"
"RND1",-6.36952316666666,7.3706396,-23.6593319796071,7.18693095410619e-06,0.00170186424799457,4.3175145630359,5.14345652745364,"Significant"
"CRCP",-8.32007266666667,8.7619334,-23.5999506344359,7.26759536864824e-06,0.00170186424799457,4.31078350277541,5.13860926051303,"Significant"
"PTOV1",-6.5506875,7.007273,-23.5960560435181,7.27292439890489e-06,0.00170186424799457,4.31034086165539,5.13829092683927,"Significant"
"DDIT4",-5.59282216666666,6.3711222,-23.0796940598121,8.02381360474004e-06,0.00170186424799457,4.2503439949379,5.09561916864331,"Significant"
"TLE6",-7.87486316666667,8.2463086,-23.0612995437073,8.05226854790469e-06,0.00170186424799457,4.24815784357233,5.09408174956477,"Significant"
"WRNIP1",-6.32123766666667,6.6294374,-23.0194467680772,8.11747252723592e-06,0.00170186424799457,4.24317094353688,5.09057917252519,"Significant"
"PGD",-6.11261083333333,9.308962,-23.0018456777278,8.14508656033075e-06,0.00170186424799457,4.24106839493856,5.08910429595041,"Significant"
