"","NGenes","PropDown","PropUp","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed"
"TLRs",3,0.666666666666667,0,"Down",0.0325,0.74175,0.1425,0.9559375
"Ras_MAPK",6,0,0.333333333333333,"Up",0.1645,0.9329375,0.0535,0.9559375
"SACs",4,0.25,0,"Down",0.2365,0.9329375,0.612,0.99375
"MAPK",3,0,0.666666666666667,"Up",0.2765,0.9329375,0.1085,0.9559375
"FAK_Paxillin",5,0,0.2,"Up",0.2825,0.9329375,0.42,0.99375
"YAP_TAZ",6,0,0,"Down",0.3015,0.9329375,0.938,0.99375
"ATC_Actin_associated",5,0,0.2,"Up",0.326,0.9329375,0.2135,0.959291666666667
"FAK_ERK",8,0,0.125,"Up",0.4525,0.9329375,0.461,0.99375
"cAMP_PKA",3,0,0,"Down",0.4595,0.9329375,0.726,0.99375
"Calpain",2,0,0,"Down",0.501,0.9329375,0.765,0.99375
"Integrins",11,0,0,"Down",0.5085,0.9329375,0.7695,0.99375
"GPCRs",3,0,0,"Up",0.5515,0.9329375,0.9415,0.99375
"ATC_Tubulin",5,0,0.2,"Up",0.6195,0.9329375,0.739,0.99375
"MMP",6,0,0.166666666666667,"Up",0.6375,0.9329375,0.841,0.99375
"PI3K_Akt",7,0.142857142857143,0,"Down",0.6815,0.9329375,0.1665,0.9559375
"ILK",5,0,0,"Up",0.6815,0.9329375,0.994,0.994
"TMCs",7,0.142857142857143,0.285714285714286,"Up",0.6915,0.9329375,0.3055,0.99375
"PIEZO",2,0,0,"Up",0.7565,0.9329375,0.957,0.99375
"RhoA",9,0,0,"Down",0.7975,0.9329375,0.9585,0.99375
"Ion_channels_family",8,0.125,0.125,"Down",0.8115,0.9329375,0.431,0.99375
"Cadherins",3,0,0,"Up",0.889,0.966784090909091,0.9335,0.99375
"ATC_Actin",6,0,0,"Up",0.925,0.966784090909091,0.9415,0.99375
"NFkB",3,0,0.333333333333333,"Down",0.9685,0.9685,0.2505,0.959291666666667
