"NGenes","PropDown","PropUp","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed","Stage","Collection","Pathway","Species","SignedProp"
11,0.0909090909090909,0.0909090909090909,"Up",0.7985,0.7985,0.098,0.098,"BL","vitro - vivo","Integrins","Bovine",0.0909090909090909
5,0.2,0.6,"Up",0.0715,0.0715,0.0045,0.0045,"BL","vitro - vivo","ATC_Actin","Bovine",0.6
4,0,1,"Up",0.0015,0.0015,0.0015,0.0015,"BL","vitro - vivo","ATC_Tubulin","Bovine",1
5,0.2,0.4,"Up",0.7425,0.7425,0.0175,0.0175,"BL","vitro - vivo","ATC_Actin_associated","Bovine",0.4
2,0,1,"Up",0.0045,0.0045,0.0045,0.0045,"BL","vitro - vivo","PIEZO","Bovine",1
3,0.333333333333333,0,"Down",0.544,0.544,0.4635,0.4635,"BL","vitro - vivo","GPCRs","Bovine",-0.333333333333333
7,0,0.428571428571429,"Up",0.0025,0.0025,0.0025,0.0025,"BL","vitro - vivo","TMCs","Bovine",0.428571428571429
3,0,0.333333333333333,"Up",0.3505,0.3505,0.351,0.351,"BL","vitro - vivo","Cadherins","Bovine",0.333333333333333
4,0.5,0,"Down",0.2105,0.2105,0.009,0.009,"BL","vitro - vivo","SACs","Bovine",-0.5
2,0,0,"Up",0.3395,0.3395,0.353,0.353,"BL","vitro - vivo","TLRs","Bovine",0
11,0,0.181818181818182,"Up",0.0325,0.0325,0.007,0.007,"BL","vitro - vivo","Ion_channels_family","Bovine",0.181818181818182
8,0.375,0.375,"Down",0.79,0.79,5e-04,5e-04,"BL","vitro - vivo","FAK_ERK","Bovine",-0.375
9,0,0.555555555555556,"Up",0.1175,0.1175,0.058,0.058,"BL","vitro - vivo","RhoA","Bovine",0.555555555555556
5,0.2,0.2,"Down",0.466,0.466,0.1395,0.1395,"BL","vitro - vivo","ILK","Bovine",-0.2
7,0.285714285714286,0.285714285714286,"Down",0.872,0.872,0.119,0.119,"BL","vitro - vivo","PI3K_Akt","Bovine",-0.285714285714286
2,0,0.5,"Up",0.4695,0.4695,0.0245,0.0245,"BL","vitro - vivo","Calpain","Bovine",0.5
6,0.166666666666667,0.333333333333333,"Up",0.0265,0.0265,0.001,0.001,"BL","vitro - vivo","MMP","Bovine",0.333333333333333
3,0.333333333333333,0,"Down",0.7365,0.7365,0.0725,0.0725,"BL","vitro - vivo","cAMP_PKA","Bovine",-0.333333333333333
6,0.333333333333333,0.333333333333333,"Down",0.8755,0.8755,0.012,0.012,"BL","vitro - vivo","Ras_MAPK","Bovine",-0.333333333333333
7,0,0.714285714285714,"Up",0.033,0.033,0.0225,0.0225,"BL","vitro - vivo","YAP_TAZ","Bovine",0.714285714285714
3,0,1,"Up",0.0065,0.0065,0.0065,0.0065,"BL","vitro - vivo","NFkB","Bovine",1
3,0.333333333333333,0.666666666666667,"Up",0.2425,0.2425,0.002,0.002,"BL","vitro - vivo","MAPK","Bovine",0.666666666666667
5,0.6,0.2,"Down",0.125,0.125,0.001,0.001,"BL","vitro - vivo","FAK_Paxillin","Bovine",-0.6
