"","NGenes","PropDown","PropUp","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed"
"ATC_Actin_associated",5,0,0.4,"Up",0.0215,0.427895833333333,0.114,0.37375
"PIEZO",2,0,0.5,"Up",0.056,0.427895833333333,0.1445,0.398027777777778
"YAP_TAZ",6,0.166666666666667,0.166666666666667,"Down",0.0815,0.427895833333333,0.1,0.37375
"FAK_Paxillin",5,0,0.2,"Up",0.093,0.427895833333333,0.4435,0.485464285714286
"PI3K_Akt",7,0.142857142857143,0.142857142857143,"Down",0.094,0.427895833333333,0.071,0.37375
"TLRs",3,0.666666666666667,0.333333333333333,"Down",0.131,0.427895833333333,0.0125,0.124583333333333
"SACs",4,0.5,0,"Down",0.1575,0.427895833333333,0.262,0.428828947368421
"FAK_ERK",8,0.125,0.25,"Up",0.166,0.427895833333333,0.1825,0.419175
"Calpain",2,0,0,"Up",0.193,0.427895833333333,0.3485,0.428828947368421
"ILK",5,0,0.2,"Up",0.194,0.427895833333333,0.3545,0.428828947368421
"ATC_Actin",6,0.166666666666667,0.333333333333333,"Up",0.2225,0.427895833333333,0.007,0.124583333333333
"MMP",6,0,0,"Up",0.2235,0.427895833333333,0.629,0.657329545454545
"Ion_channels_family",8,0.125,0,"Down",0.2805,0.442390625,0.3005,0.428828947368421
"MAPK",3,0,0.333333333333333,"Up",0.2965,0.442390625,0.4215,0.4844375
"ATC_Tubulin",5,0.2,0.4,"Up",0.3,0.442390625,0.114,0.37375
"cAMP_PKA",3,0,0,"Down",0.308,0.442390625,0.346,0.428828947368421
"Cadherins",3,0,0,"Up",0.3565,0.481985294117647,0.3265,0.428828947368421
"GPCRs",3,0.333333333333333,0,"Down",0.464,0.592569444444444,0.302,0.428828947368421
"Ras_MAPK",6,0,0.166666666666667,"Up",0.7895,0.932869047619048,0.332,0.428828947368421
"Integrins",11,0.0909090909090909,0,"Up",0.8285,0.932869047619048,0.233,0.428828947368421
"RhoA",9,0.222222222222222,0,"Down",0.852,0.932869047619048,0.156,0.398027777777778
"NFkB",3,0,0,"Down",0.9365,0.97825,0.814,0.814
"TMCs",7,0.285714285714286,0.142857142857143,"Down",0.9785,0.9785,0.0165,0.124583333333333
