"NGenes","PropDown","PropUp","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed","Stage","Collection","Pathway","Species","SignedProp"
11,0.0909090909090909,0.0909090909090909,"Up",0.7965,0.7965,0.113,0.113,"BL","vitro - vivo","Integrins","Bovine",0.0909090909090909
19,0.210526315789474,0.210526315789474,"Up",0.986,0.986,0.0195,0.0195,"BL","vitro - vivo","I_FAK_ERK","Bovine",0.210526315789474
20,0.05,0.3,"Up",0.2935,0.2935,0.064,0.064,"BL","vitro - vivo","I_RhoA","Bovine",0.3
16,0.125,0.125,"Down",0.8935,0.8935,0.126,0.126,"BL","vitro - vivo","I_ILK","Bovine",-0.125
9,0.222222222222222,0.444444444444444,"Up",0.461,0.461,0.019,0.019,"BL","vitro - vivo","P_PI3K_Akt","Bovine",0.444444444444444
4,0,0.75,"Up",0.0385,0.0385,0.0035,0.0035,"BL","vitro - vivo","P_Calpain","Bovine",0.75
8,0.125,0.5,"Up",0.008,0.008,0.001,0.001,"BL","vitro - vivo","P_MMP","Bovine",0.5
10,0,0.6,"Up",0.053,0.053,0.0195,0.0195,"BL","vitro - vivo","P_RhoA","Bovine",0.6
11,0.272727272727273,0.0909090909090909,"Down",0.8365,0.8365,0.0015,0.0015,"BL","vitro - vivo","G_cAMP_PKA","Bovine",-0.272727272727273
9,0.333333333333333,0.222222222222222,"Down",0.757,0.757,0.0415,0.0415,"BL","vitro - vivo","G_Ras_MAPK","Bovine",-0.333333333333333
8,0.125,0.125,"Up",0.831,0.831,0.292,0.292,"BL","vitro - vivo","G_RhoA","Bovine",0.125
9,0.222222222222222,0.111111111111111,"Up",0.7855,0.7855,0.0415,0.0415,"BL","vitro - vivo","T_TRP","Bovine",0.111111111111111
10,0,0.6,"Up",0.0805,0.0805,0.066,0.066,"BL","vitro - vivo","C_YAP_TAZ","Bovine",0.6
6,0,0.166666666666667,"Up",0.573,0.573,0.55,0.55,"BL","vitro - vivo","C_RhoA","Bovine",0.166666666666667
10,0.4,0.1,"Down",0.434,0.434,0.0945,0.0945,"BL","vitro - vivo","S_PI3K_Akt","Bovine",-0.4
7,0.285714285714286,0,"Down",0.758,0.758,0.309,0.309,"BL","vitro - vivo","S_RhoA","Bovine",-0.285714285714286
5,0,0.6,"Up",0.0145,0.0145,0.0145,0.0145,"BL","vitro - vivo","TLR_NFkB","Bovine",0.6
5,0.2,0.4,"Up",0.2835,0.2835,0.015,0.015,"BL","vitro - vivo","TLR_MAPK","Bovine",0.4
6,0,0.666666666666667,"Up",0.12,0.12,0.0885,0.0885,"BL","vitro - vivo","YAP_TAZ","Bovine",0.666666666666667
16,0.25,0.125,"Down",0.748,0.748,0.0165,0.0165,"BL","vitro - vivo","I_FAX_Paxillin","Bovine",-0.25
5,0.2,0.6,"Up",0.074,0.074,0.0035,0.0035,"BL","vitro - vivo","ATC_Actin","Bovine",0.6
4,0,1,"Up",0.002,0.002,0.002,0.002,"BL","vitro - vivo","ATC_Tubulin","Bovine",1
5,0.2,0.4,"Up",0.732,0.732,0.0315,0.0315,"BL","vitro - vivo","ATC_Actin_associated","Bovine",0.4
7,0,0.428571428571429,"Up",0.225,0.225,0.1005,0.1005,"BL","vitro - vivo","ATC_RhoA","Bovine",0.428571428571429
5,0,0.4,"Up",0.056,0.056,0.0525,0.0525,"BL","vitro - vivo","Hippo","Bovine",0.4
2,0,1,"Up",0.0045,0.0045,0.0045,0.0045,"BL","vitro - vivo","PIEZO","Bovine",1
3,0.333333333333333,0,"Down",0.522,0.522,0.4825,0.4825,"BL","vitro - vivo","GPCRs","Bovine",-0.333333333333333
2,0,0.5,"Up",0.052,0.052,0.055,0.055,"BL","vitro - vivo","TMCs","Bovine",0.5
3,0,0.333333333333333,"Up",0.375,0.375,0.376,0.376,"BL","vitro - vivo","Cadherins","Bovine",0.333333333333333
4,0.5,0,"Down",0.1995,0.1995,0.01,0.01,"BL","vitro - vivo","SACs","Bovine",-0.5
2,0,0,"Up",0.348,0.348,0.3615,0.3615,"BL","vitro - vivo","TLRs","Bovine",0
