"","logFC","AveExpr","t","P.Value","adj.P.Val","B","logP"
"GALNT1",-1.43256664072808,6.01286640122718,-7.31653028022743,2.12313709666461e-05,0.130201382452957,2.56971298123406,4.67302196136742
"ATMIN",-1.36494685732608,5.20165649059114,-7.58710474141407,1.53977537938413e-05,0.130201382452957,2.50254860892306,4.81254262890964
"SIRT1",-1.73775930557397,6.22380439725892,-6.63786520576952,4.93698493484797e-05,0.201840400753034,1.97303995984239,4.306538198023
"PTDSS2",-1.86073809088064,6.19407874946383,-6.11857554076173,9.79254506184704e-05,0.221419251345567,1.43269021278157,4.00910442130509
"KLF5",-1.91729838981539,6.60838629428082,-5.83339594476175,0.000144837354842067,0.253775736733993,1.17103329835938,3.8391194152827
"STK24",-1.49435367675478,4.43422272108554,-6.21390221772557,8.6127256825367e-05,0.221419251345567,1.01772409497656,4.06485938495123
"ALYREF",-2.66477773814314,6.00118694340999,-5.67321539088891,0.000181338090579302,0.278013960119393,0.868891546121294,3.74151096153671
"LY6E",1.24198990491624,6.74665384620792,5.3721686723524,0.000279359167178046,0.342634018543873,0.647253302927054,3.55383707268572
"EGLN1",-1.8563497490123,3.9648938133681,-6.04431117951183,0.00010831761174671,0.221419251345567,0.594159864240408,3.96530092414508
"EBP",0.869718246957064,7.44197993347462,5.24316782492138,0.000337512899000395,0.349327006931176,0.517851488726949,3.47170962473623
"EIF3B",-1.2108131538111,6.69263874977045,-5.19524059350556,0.000362297733750321,0.349327006931176,0.429229235047527,3.44093438256168
"CUL3",-1.23869850018906,6.14414987358443,-5.18058008479218,0.000370260993893623,0.349327006931176,0.372380580564146,3.43149203742134
"AGFG1",-1.36763815990031,5.70950104561067,-5.05653332720286,0.000445591427823473,0.390369918732493,0.171851606678717,3.35106317260267
"GATA6",-1.11672548605119,6.26970180272356,-4.96120376057296,0.00051451264658697,0.420699840692613,0.107870146298602,3.288603945925
"CDK2AP1",-2.07320143798181,3.7193398501407,-5.46220873571101,0.000245159509996209,0.334097932233723,-0.0484743149692415,3.6105512553496
"MYBL2",-1.72844681781411,6.72985797021599,-4.82574628674769,0.000632582433461288,0.441888262919594,-0.0534369152341077,3.19888287242149
"AP3D1",-0.935200013947353,7.19554954147157,-4.64764717860024,0.00083331165137246,0.441888262919594,-0.276810284548892,3.07919254582178
"CCL17",3.71694407844965,5.78808955541353,4.7552145332143,0.000705153910635925,0.441888262919594,-0.317875829569096,3.15171608124313
"CEBPD",-2.65954834140304,4.5234298624219,-4.85286276024059,0.000606827606168457,0.441888262919594,-0.378819516853605,3.21693467024867
"ANKRD16",-1.26589355844832,4.8482497558491,-4.70650362494601,0.000760391921772347,0.441888262919594,-0.383795384184581,3.11896250562607
"RRAS2",-2.09674412051103,4.88614852924644,-4.70266754045016,0.000764932485395727,0.441888262919594,-0.41926525538935,3.11637689493007
"PINK1",-1.91469595254398,5.45309936274143,-4.59953323467944,0.000898413016796509,0.441888262919594,-0.446203278030995,3.04652396435797
"RCC2",-1.6419977198449,6.85905505430429,-4.51253214090893,0.00103016275489102,0.441888262919594,-0.472451799862545,2.98709415590925
"BRD9",-1.00250768174592,5.29017915245896,-4.52230111800775,0.00101440150000052,0.441888262919594,-0.540944723608098,2.99379011726847
"CUL1",-1.64392333617202,5.79820540834795,-4.44109700440482,0.00115357080054212,0.441888262919594,-0.613847062347374,2.93795574545052
"TTC19",-1.47370040290606,4.31542361849031,-4.59354660955172,0.000906881896041215,0.441888262919594,-0.641769046439972,3.0424492677771
"TNRC6B",0.88390157236537,5.51009002355414,4.41378769047344,0.00120478731201795,0.441888262919594,-0.664082363352168,2.91908961480673
"MAGI3",-0.863482311724034,5.1091963266724,-4.39541543592397,0.00124058779987457,0.441888262919594,-0.722936144801824,2.90637249406675
"ALKBH5",-1.4856651243197,3.99925342361206,-4.56371733465106,0.00095035534346385,0.441888262919594,-0.759735665558365,3.02211397907888
"MAP2K4",-1.31240980762205,5.53101196763979,-4.3059119467749,0.00143174771186096,0.474605018539856,-0.808160989444514,2.84413350227921
"STXBP1",-1.07809918373763,4.35109782990035,-4.36852628052128,0.00129501875407957,0.441888262919594,-0.88284683674784,2.88772394221262
"NADK",-1.41761181436532,5.94161213147177,-4.22598561010745,0.00162870166669483,0.505202729972703,-0.895615035989928,2.78815845919904
"PIM3",-1.70267273243173,3.63668325124003,-4.55611293243281,0.000961786678146722,0.441888262919594,-0.902985292557688,3.01692124269935
"PANX1",-1.27713691409052,4.03004117728623,-4.42048549094174,0.00119200813302225,0.441888262919594,-0.903843193888753,2.92372078141236
"ANKRD11",-1.28519559568504,5.96084461906323,-4.2142352750887,0.00165997594236149,0.505202729972703,-0.90993646915071,2.77989820604149
"SLC25A43",-1.34010937124473,4.87618995291319,-4.18874599548066,0.00173000527181847,0.505202729972703,-1.0273079936419,2.76195257345029
"TLE4",-1.6449693390207,4.21707281059288,-4.28231939291209,0.00148713561794552,0.479992588265835,-1.03598136944072,2.82764942459188
"DPY19L1",-2.0245208269432,2.93622486133524,-4.69437943936316,0.000774840950425682,0.441888262919594,-1.13728503114613,3.11078743483736
"HES1",-1.45233658210537,4.1216640981219,-4.19559265694914,0.00171089522694908,0.505202729972703,-1.15058593100717,2.76677658528712
"KDM1A",-1.54696589727998,7.51314783349253,-4.00141823532367,0.00234992695890143,0.539259563689521,-1.20118272636719,2.62894563638317
"KLHL36",-1.55527146707995,3.21430813156585,-4.39104156514776,0.00124927490912196,0.441888262919594,-1.22026936136767,2.90334198246063
"FAM169A",-0.999802940694609,5.79227865166908,-3.98579196328096,0.00241121807251525,0.539259563689521,-1.23474715989076,2.61776350990161
"TMEM259",-1.42186728779161,6.73875685871299,-3.92925161809998,0.0026473146767526,0.539259563689521,-1.30688859894051,2.57719443261077
"PAWR",-1.00292993487412,4.23996472768642,-4.03617980494701,0.00221935313163784,0.539259563689521,-1.30708123595477,2.65377358964727
"DNAH11",-1.00385792374483,4.82833384903493,-3.96255315491287,0.00250547653599348,0.539259563689521,-1.32303247209388,2.6011096601082
"MAPK4",-1.02007743686892,5.75002434349563,-3.91727971428732,0.00270033328553716,0.539259563689521,-1.3333616999527,2.56858263023476
"MAP2K2",-1.57492369550978,5.57153711887021,-3.91855104181761,0.00269465086773231,0.539259563689521,-1.34105954530904,2.56949749616912
"CSNK1G2",-1.9796288696399,3.78756130481242,-4.12419592933476,0.00192158092474187,0.535640682771795,-1.34188292956629,2.71634132109878
"BRD7",-1.20078420935482,6.1272915440945,-3.90530027259837,0.00275449568136935,0.539259563689521,-1.34461850118398,2.55995790419788
"NEK7",-0.702910414087254,6.2046349996164,-3.90018278303444,0.00277797776410496,0.539259563689521,-1.35065839178874,2.55627123482776
"MCMBP",-1.94237729034192,5.98229886789467,-3.84751524954123,0.00303214001748271,0.539259563689521,-1.43323090187404,2.5182507478236
"TP53I3",1.36233008646253,3.95778475917257,3.98313737344109,0.00242179519265907,0.539259563689521,-1.44642200455815,2.61586258722887
"PAN3",-0.811622465343237,5.68959414470781,-3.8383184196131,0.00307895214848946,0.539259563689521,-1.44710122714465,2.51159706062862
"KIF7",-1.78926698905037,2.62076757189123,-4.49115186294284,0.00106556668597066,0.441888262919594,-1.45922871797465,2.97241936580635
"SLC22A5",-1.12628147634844,3.91189659573609,-3.96375450329493,0.00250051059850566,0.539259563689521,-1.46052203620304,2.60197130033936
"SIL1",1.03375643202828,5.14090179670916,3.83951183673714,0.00307283533912764,0.539259563689521,-1.46982829891052,2.51246071121262
"RCC1L",-0.775106094799072,5.31695498178364,-3.81139458547661,0.0032203731611436,0.539259563689521,-1.49640195570967,2.49209380146079
"CRPPA",-1.28612577797611,3.71096474883395,-3.97254770949043,0.00246447439679127,0.539259563689521,-1.49728817166362,2.60827568933317
"HABP4",-1.74888158775526,3.62849507654545,-3.98400968387967,0.0024183141618442,0.539259563689521,-1.52976407551795,2.61648728085629
"SLC7A6",-1.64210940262072,3.06504974698633,-4.14171720502013,0.00186747520803208,0.532664730849149,-1.5373401146226,2.72874515502064
"RAB21",-1.59369883391802,3.8242786258131,-3.92874376349506,0.00264954153475976,0.539259563689521,-1.53787770499882,2.57682926800639
"APP",1.70468460613424,3.87837758065649,3.9248959944099,0.00266647703589333,0.539259563689521,-1.54866827139296,2.57406215217527
"CLCN3",-1.23925047727504,6.0320926700328,-3.76428078689206,0.00348434803936417,0.539259563689521,-1.55092491904056,2.45787847133771
"IER5",-1.7012015065956,3.64113709702754,-3.95089774384452,0.00255419413912279,0.539259563689521,-1.55827120713927,2.59274609597416
"CYRIB",-0.995048094293459,6.05211037903997,-3.75723822394805,0.00352570024854272,0.539259563689521,-1.56092599915325,2.45275461374333
"WIPI2",-1.99737064753015,6.38118425931855,-3.75121161521807,0.00356149215699398,0.539259563689521,-1.569641357522,2.44836800770801
"TMEM45B",1.04070718126207,5.77547117258738,3.74715419250868,0.00358580171837155,0.539259563689521,-1.57855801882417,2.44541372899523
"VAC14",-1.60956374550663,4.9206625013135,-3.76674601409174,0.00346999228177126,0.539259563689521,-1.58885675253314,2.45967149119987
"TRIM28",-0.896357142975479,7.08879689720179,-3.73896012268741,0.00363542286454731,0.539259563689521,-1.59311253340882,2.43944506566923
"FBXL6",-1.31316429326974,5.23396761482399,-3.74591980177671,0.0035932315947143,0.539259563689521,-1.59534349558419,2.44451479029186
"C14H8orf82",-1.92640181019958,3.62761738089412,-3.88962542180573,0.00282708354710071,0.539259563689521,-1.64588509944236,2.54866135687706
"CMTM8",-1.85354850271557,3.23881153145111,-3.97529597645993,0.00245332314353872,0.539259563689521,-1.65827244387341,2.61024524420584
"ASF1B",0.595510299865039,6.36432269620546,3.68397265031852,0.00398741321102039,0.539259563689521,-1.67017357226574,2.39930875657053
"GPC1",-1.36299072141174,4.25993547488024,-3.74606980383063,0.00359232786926342,0.539259563689521,-1.67883949076563,2.44462403244079
"GRN",1.39214548537472,4.64628648529019,3.71144020183615,0.00380736331560159,0.539259563689521,-1.6874750372415,2.41937567889028
"KRT5",-1.34194988535948,5.68016599556776,-3.65357615360354,0.00419699895903646,0.539259563689521,-1.71546869758092,2.37706113850468
"GRSF1",-1.6355008536699,4.4601075057891,-3.70115265386649,0.00387378869736685,0.539259563689521,-1.71973076410351,2.41186407232892
"TPRN",-2.03841831539726,4.15633659472814,-3.73208327376476,0.00367761793166423,0.539259563689521,-1.73345502075787,2.43443339168002
"STK35",-1.3474453723871,3.94163716124075,-3.73996211607818,0.0036293169442434,0.539259563689521,-1.7335674319416,2.4401751036855
"MFSD5",0.70416940808131,8.04061131436887,3.64954672278063,0.00422562781197246,0.539259563689521,-1.73663980403656,2.37410875771553
"LOC112444863",-0.987290733017588,6.72794404126241,-3.62036307567831,0.00443911266750488,0.539259563689521,-1.76921596409855,2.35270383216438
"ABHD17C",-1.95756546691669,3.87026446869482,-3.73725363615768,0.00364584639303693,0.539259563689521,-1.77399101554847,2.4382016330101
"GKAP1",-1.45022345411247,4.37557601325516,-3.65965621401899,0.00415418066035392,0.539259563689521,-1.77959315009226,2.38151462044206
"GALNT12",-1.62141087548893,4.80463405752642,-3.63208310336059,0.00435206556528888,0.539259563689521,-1.78024982561685,2.3613045704724
"UBP1",-1.10492972657646,4.95693654271116,-3.62130877784992,0.00443202229574916,0.539259563689521,-1.78089021347493,2.35339806351057
"LRRCC1",-0.966362499987412,5.0894067643778,-3.61047703185335,0.00451394027081204,0.539259563689521,-1.78940296858238,2.34544419187508
"DNAJC18",1.00088181323347,4.1850063449897,3.65103547991273,0.00421502677278406,0.539259563689521,-1.80978698979567,2.37519966250176
"MRPL40",-1.80867091979717,4.29021227316753,-3.64977131348747,0.0042240267929833,0.539259563689521,-1.81082764832436,2.37427333573753
"AVEN",-1.83002847197547,3.78731110151364,-3.71009725940958,0.00381596697118766,0.539259563689521,-1.81540944326835,2.41839539295458
"C29H11orf68",-1.75485429287458,3.82350493493389,-3.69234989312409,0.00393158208105283,0.539259563689521,-1.82809267364302,2.40543265298101
"CDV3",-0.990146506678173,5.07079389327939,-3.57810370296607,0.00476824711709445,0.545637499726981,-1.83602780117162,2.32164124512825
"PPP1R14B",-1.08131760932431,5.19869782804304,-3.57163328498742,0.00482082868431699,0.545637499726981,-1.84166899033292,2.31687830157606
"TBC1D10B",-1.24117286472638,4.36515924996808,-3.5939093848556,0.00464228357797471,0.545637499726981,-1.86263622772389,2.33326833380945
