gene_id,gene_name,gene_length,twoD_1,twoD_2,twoD_3,twoD_4,dynamic_2,dynamic_3,dynamic_4,dynamic_5,static_1,static_2,static_4,static_5
ENSBTAG00000006648,NA,899,7,21,23,0,25,2,13,26,28,12,19,40
ENSBTAG00000049697,RF00001,119,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000047028,RF00001,127,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000053686,RF00001,119,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000054829,NA,984,12,45,28,0,48,116,53,1,12,72,39,68
ENSBTAG00000046619,RF00001,126,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000001753,NA,3899,53,7,9,20,19,7,21,9,32,12,1,9
ENSBTAG00000020035,RCAN1,2712,426,140,61,286,519,4971,160,1164,416,224,293,492
ENSBTAG00000005540,CBX3,546,0,0,0,0,0,0,0,0,0,0,1,0
ENSBTAG00000001150,KCNE1,795,29,17,51,22,8,36,37,7,59,29,9,23
ENSBTAG00000026259,NA,336,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000051226,NA,1637,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000013841,FAM243A,1019,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000011528,SMIM11A,514,2111,1627,4021,2001,2095,1822,2624,1498,3065,1801,2640,1358
ENSBTAG00000026260,KCNE2,777,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000054497,NA,1259,0,0,0,1,0,0,0,0,0,0,0,0
ENSBTAG00000012594,MRPS6,1463,119,335,680,883,338,1687,107,300,171,59,140,373
ENSBTAG00000049850,RF00026,107,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000018278,ATP5PO,938,2465,3067,5249,5004,3138,6513,1259,2033,5580,2490,3177,3776
ENSBTAG00000021997,ITSN1,6329,146,71,30,23,113,401,26,75,61,112,85,82
ENSBTAG00000054338,bta-mir-12045,63,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000053248,bta-mir-2285bs,61,0,5,34,3,5,5,2,9,3,11,2,21
ENSBTAG00000008490,CRYZL1,2200,182,116,483,996,173,534,47,122,445,150,246,203
ENSBTAG00000035175,DONSON,3479,1322,228,399,1494,349,862,644,956,1126,910,635,248
ENSBTAG00000008482,SON,10785,14155,8125,14606,10480,9380,8451,6602,7898,13723,7006,12162,13949
ENSBTAG00000052933,bta-mir-6501,64,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000009188,GART,4292,74,60,67,46,93,202,80,130,86,170,74,74
ENSBTAG00000009187,DNAJC28,1143,285,363,115,93,158,115,119,118,228,246,219,403
ENSBTAG00000001258,TMEM50B,2049,8894,2420,3348,2773,3000,2586,3208,3200,4937,1972,5653,3010
ENSBTAG00000043399,RF00401,125,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000012899,IFNGR2,1195,27,14,9,31,102,437,16,86,0,38,28,17
ENSBTAG00000021819,IFNAR1,3294,8,22,6,19,2,84,4,23,11,0,24,19
ENSBTAG00000019404,IL10RB,2155,43,109,25,50,134,202,83,73,45,13,239,64
ENSBTAG00000015212,IFNAR2,2665,6,0,0,0,12,53,0,5,3,4,0,0
ENSBTAG00000051429,NA,312,0,1,3,1,1,3,1,1,0,0,2,2
ENSBTAG00000051548,NA,198,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000037547,OLIG1,2074,464,379,262,440,450,278,546,362,323,603,223,268
ENSBTAG00000054023,NA,1979,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000049136,OLIG2,984,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000043993,C1H21orf62,1566,0,1,2,0,14,11,0,4,0,0,7,3
ENSBTAG00000003064,PAXBP1,4626,658,92,130,350,297,607,109,381,228,130,166,68
ENSBTAG00000003063,SYNJ1,5131,151,134,134,271,100,214,92,91,130,120,272,158
ENSBTAG00000035493,NA,162,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000003059,CFAP298,1289,2000,1905,1417,1936,1670,1219,1781,1346,2023,1698,1556,1393
ENSBTAG00000017310,EVA1C,2151,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000012412,URB1,7393,9,20,12,7,18,50,24,17,0,15,6,11
ENSBTAG00000023718,MRAP,605,0,0,0,0,0,45,0,0,5,0,0,0
ENSBTAG00000016619,MIS18A,1960,1368,1432,2644,2978,875,1054,1651,995,1594,1044,1984,1307
ENSBTAG00000020762,HUNK,2172,12,10,0,0,6,0,2,0,0,10,0,1
ENSBTAG00000018855,SCAF4,3905,262,231,80,125,140,417,204,236,156,214,129,125
ENSBTAG00000018854,SOD1,994,4943,4167,9807,7478,5419,7834,2988,3393,4574,3210,4768,4745
ENSBTAG00000051337,NA,651,0,3,16,16,9,6,2,6,12,0,12,17
ENSBTAG00000017839,TIAM1,2579,0,58,7,0,29,39,27,16,22,34,21,17
ENSBTAG00000044299,bta-mir-2284i,77,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000046072,bta-mir-2284x,96,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000048631,NA,3886,1303,1055,519,871,1164,1436,1486,1467,1126,2167,972,683
ENSBTAG00000034869,KRTAP11-1,880,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000046804,KRTAP7-1,264,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000015812,KRTAP8-1,198,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000048503,NA,192,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000050662,NA,273,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000054173,NA,270,0,0,0,0,0,0,0,0,0,0,0,0
ENSBTAG00000049506,NA,273,0,0,0,0,0,0,0,0,0,0,0,0
